Country Code,2011
ABW,
AND,
AFG,
AGO,
ALB,
ARB,
ARE,0.49071
ARG,0.51544
ARM,0.27014
ASM,
ATG,
AUS,2.24915
AUT,2.68125
AZE,0.21084
BDI,0.12126
BEL,2.15075
BEN,
BFA,
BGD,
BGR,0.54768
BHR,0.03764
BHS,
BIH,
BLR,0.7006
BLZ,
BMU,0.26122
BOL,
BRA,1.14008
BRB,
BRN,
BTN,
BWA,
CAF,
CAN,1.7788
CEB,0.965154759185983
CHE,
CHI,
CHL,0.35343
CHN,1.79438
CIV,
CMR,
COG,
COL,0.21694
COM,
CPV,0.07264
CRI,0.47403
CSS,
CUB,0.27192
CUW,
CYM,
CYP,0.45612
CZE,1.56009
DEU,2.79725
DJI,
DMA,
DNK,2.96625
DOM,
DZA,
EAP,1.67730508973702
EAS,2.42538073483319
ECA,0.656511706594773
ECS,1.80918937479295
ECU,0.33991
EGY,0.53154
EMU,2.03994868847919
ERI,
ESP,1.31929
EST,2.34365
ETH,
EUU,1.97029317846029
FCS,
FIN,3.63881
FJI,
FRA,2.19064
FRO,
FSM,
GAB,
GBR,1.69253
GEO,
GHA,
GIN,
GMB,0.13221
GNB,
GNQ,
GRC,0.66962
GRD,
GRL,
GTM,0.04814
GUM,
GUY,
HIC,2.36287437626786
HKG,0.72086
HND,
HPC,
HRV,0.75237
HTI,
HUN,1.20042
IDN,
IMN,
IND,0.82224
INX,
IRL,1.53301
IRN,
IRQ,0.03476
ISL,2.49097
ISR,4.10215
ITA,1.20881
JAM,
JOR,
JPN,3.38313
KAZ,0.15723
KEN,
KGZ,0.15633
KHM,
KIR,
KNA,
KOR,3.74361
KSV,
KWT,0.09899
LAC,0.817086956750516
LAO,
LBN,
LBR,
LBY,
LCA,
LCN,0.756424474533948
LDC,
LIC,
LIE,
LKA,
LMC,
LMY,1.19502383392017
LSO,0.01283
LTU,0.90471
LUX,1.41092
LVA,0.70027
MAC,0.04453
MAF,
MAR,
MCO,
MDA,0.40499
MDG,0.10588
MDV,
MEA,
MEX,0.42497
MHL,
MIC,1.19584990938594
MKD,0.22276
MLI,
MLT,0.72075
MMR,
MNA,
MNE,0.40864
MNG,0.23054
MNP,
MOZ,
MRT,
MUS,
MWI,
MYS,1.06422
NAC,2.6627190665479
NAM,
NCL,
NER,
NGA,
NIC,
NLD,1.88839
NOC,0.899550502032618
NOR,1.62754
NPL,
NZL,1.24822
OEC,2.48902054992195
OED,2.41055682888702
OMN,0.13645
OSS,
PAK,0.32917
PAN,0.1804
PER,
PHL,
PLW,
PNG,
POL,0.75224
PRI,
PRK,
PRT,1.45683
PRY,0.05671
PSS,
PYF,
QAT,
ROU,0.50059
RUS,1.09069
RWA,
SAS,0.770816369324039
SAU,
SDN,
SEN,
SGP,2.15055
SLB,
SLE,
SLV,0.03112
SMR,
SOM,
SRB,0.72439
SSA,
SSD,
SSF,
SST,
STP,
SUR,
SVK,0.66767
SVN,2.42542
SWE,3.22403
SWZ,
SXM,
SYC,
SYR,
TCA,
TCD,
TGO,
THA,0.38776
TJK,0.12148
TKM,
TLS,
TON,
TTO,0.04348
TUN,0.70645
TUR,0.85952
TUV,
TZA,
UGA,
UKR,0.7378
UMC,1.28872475051715
URY,0.41679
USA,2.76547
UZB,
VCT,
VEN,
VIR,
VNM,0.19044
VUT,
PSE,
WLD,2.05735657981616
WSM,
YEM,
ZAF,0.7342
COD,
ZMB,
ZWE,
