Country Code;2014 Percent Urban Population
ABW;41,779
AND;85,633
AFG;26,282
AGO;43,274
ALB;56,409
ARB;57,38845654
ARE;85,266
ARG;91,604
ARM;62,812
ASM;87,264
ATG;24,19
AUS;89,289
AUT;65,919
AZE;54,355
BDI;11,761
BEL;97,818
BEN;43,514
BFA;29,024
BGD;33,516
BGR;73,626
BHR;88,719
BHS;82,801
BIH;39,616
BLR;76,277
BLZ;44,124
BMU;100
BOL;68,107
BRA;85,433
BRB;31,554
BRN;76,887
BTN;37,898
BWA;57,187
CAF;39,759
CAN;81,65
CEB;62,26936458
CHE;73,844
CHI;31,363
CHL;89,356
CHN;54,41
CIV;53,479
CMR;53,819
COG;64,957
COL;76,161
COM;28,193
CPV;64,84
CRI;75,915
CSS;42,08309589
CUB;76,97
CUW;89,43
CYM;100
CYP;67,019
CZE;73,019
DEU;75,094
DJI;77,262
DMA;69,256
DNK;87,502
DOM;78,061
DZA;70,129
EAP;51,9496476
EAS;55,72079895
ECA;59,93526451
ECS;70,67999786
ECU;63,516
EGY;43,069
EMU;75,69954773
ERI;22,193
ESP;79,355
EST;67,622
ETH;19,028
EUU;74,57523014
FCS;40,74676851
FIN;84,086
FJI;53,354
FRA;79,289
FRO;41,743
FSM;22,378
GAB;86,92
GBR;82,345
GEO;53,468
GHA;53,392
GIN;36,68
GMB;59,015
GNB;48,55
GNQ;39,756
GRC;77,678
GRD;35,58
GRL;86,045
GTM;51,115
GUM;94,437
GUY;28,459
HIC;80,65809502
HKG;100
HND;54,137
HPC;34,13133211
HRV;58,656
HTI;57,436
HUN;70,771
IDN;53,003
IMN;52,138
IND;32,366
INX;
IRL;62,952
IRN;72,855
IRQ;69,361
ISL;94,042
ISR;92,076
ITA;68,821
JAM;54,556
JOR;83,447
JPN;93,021
KAZ;53,29
KEN;25,197
KGZ;35,585
KHM;20,514
KIR;44,173
KNA;31,96
KOR;82,36
KSV;
KWT;98,326
LAC;77,78157837
LAO;37,551
LBN;87,67
LBR;49,308
LBY;78,359
LCA;18,477
LCN;79,61483658
LDC;31,01842042
LIC;29,76794504
LIE;14,305
LKA;18,32
LMC;38,52706738
LMY;46,98506528
LSO;26,789
LTU;66,522
LUX;89,872
LVA;67,421
MAC;100
MAF;
MAR;59,699
MCO;100
MDA;44,925
MDG;34,468
MDV;44,494
MEA;63,74276204
MEX;78,971
MHL;72,424
MIC;49,02969359
MKD;57,029
MLI;39,143
MLT;95,277
MMR;33,551
MNA;60,01501824
MNE;63,832
MNG;71,222
MNP;89,272
MOZ;31,934
MRT;59,255
MUS;39,814
MWI;16,102
MYS;74,01
NAC;81,47076721
NAM;45,678
NCL;69,663
NER;18,469
NGA;46,942
NIC;58,459
NLD;89,91
NOC;80,58927715
NOR;80,208
NPL;18,243
NZL;86,251
OEC;80,67774012
OED;80,04415801
OMN;77,178
OSS;48,53192163
PAK;38,303
PAN;66,292
PER;78,285
PHL;44,488
PLW;86,452
PNG;12,985
POL;60,568
PRI;93,636
PRK;60,715
PRT;62,908
PRY;59,416
PSS;37,23226336
PYF;55,976
QAT;99,159
ROU;54,393
RUS;73,924
RWA;27,841
SAS;32,60337557
SAU;82,926
SDN;33,623
SEN;43,393
SGP;100
SLB;21,876
SLE;39,578
SLV;66,255
SMR;94,166
SOM;39,078
SRB;55,455
SSA;37,22805127
SSD;18,591
SSF;37,23171313
SST;46,17379323
STP;64,511
SUR;66,085
SVK;53,757
SVN;49,695
SWE;85,665
SWZ;21,315
SXM;100
SYC;53,559
SYR;57,255
TCA;91,847
TCD;22,341
TGO;39,469
THA;49,174
TJK;26,692
TKM;49,688
TLS;32,131
TON;23,632
TTO;8,55
TUN;66,645
TUR;72,891
TUV;58,782
TZA;30,901
UGA;15,766
UKR;69,482
UMC;61,82708863
URY;95,152
USA;81,447
UZB;36,278
VCT;50,2
VEN;88,941
VIR;95,203
VNM;32,951
VUT;25,817
PSE;75,026
WLD;53,3850865
WSM;19,26
YEM;34,027
ZAF;64,298
COD;41,976
ZMB;40,472
ZWE;32,501
